lang_nr,lang_name,lang_country
1,Abidji,Ivory Coast
2,Agarabi,Papua New Guinea
3,Agta,Philippines
4,Aguacatec,Guatemala
5,Amarakaeri,Peru
6,Ampeeli,Papua New Guinea
7,Amuzgo,Mexico
8,Angaatiha,Papua New Guinea
9,Apinayé,Brazil
10,Arabela,Peru
11,Bahinemo,Papua New Guinea
12,Bauzi,Indonesia
13,Berik,Indonesia
14,Bété,Ivory Coast
15,Bhili,India
16,Buglere,Panama
17,Cakchiquel,Guatemala
18,Campa,Peru
19,Camsa,Colombia
20,Candoshi,Peru
21,Cavineña,Bolivia
22,Cayapa,Ecuador
23,Chácobo,Bolivia
24,Chavacano (Zamboangueño),Philippines
25,Chayahuita,Peru
26,Chinantec,Mexico
27,Chiquitano,Bolivia
28,Chumburu,Ghana
29,Cofán,Ecuador
30,Colorado,Ecuador
31,Cree,Canada
32,Culina,Peru
33,Didinga,Sudan
34,Djuka,Surinam
35,Dyimini,Ivory Coast
36,Ejagam,Nigeria
37,Ese Ejja,Bolivia
38,Garífuna (Black Carib),Guatemala
39,Guahibo,Colombia
40,Guambiano,Colombia
41,Guarijío,Mexico
42,Guaymí (Ngäbere),Panama
43,Gunu,Cameroon
44,Halbi,India
45,Huastec,Mexico
46,Huave,Mexico
47,Iduna,Papua New Guinea
48,Ifugao,Philippines
49,Iwam,Papua New Guinea
50,Jicaque,Honduras
51,Kalam,Papua New Guinea
52,Kamano-Kafe,Papua New Guinea
53,Karajá,Brazil
54,Kemtuik,Indonesia
55,Kokni (Kokoni),India
56,Konkomba,Ghana
57,Kriol,Australia
58,Kuku-Yalanji,Australia
59,Kuna,Panama
60,Kwerba,Indonesia
61,Lele,Chad
62,Mampruli,Ghana
63,Maring,Papua New Guinea
64,Martu-Wangka,Australia
65,Mawchi,India
66,Mayoruna,Peru
67,Mazahua,Mexico
68,Mazatec,Mexico
69,Menye,Papua New Guinea
70,Micmac,Canada
71,Mikasuki,USA
72,Mixtec,Mexico
73,Mundu,Sudan
74,Múra-Pirahá,Brazil
75,Murle,Sudan
76,Murrinh-Patha,Australia
77,Nafaanra,Ghana
78,Nahuatl,Mexico
79,Ocaina,Peru
80,Papago (O'odham),Mexico
81,Patep,Papua New Guinea
82,Paya,Honduras
83,Podopa,Papua New Guinea
84,Saramaccan,Surinam
85,Seri,Mexico
86,Shipibo,Peru
87,Sirionó,Bolivia
88,Slave,Canada
89,Sursurunga,Papua New Guinea
90,Tabla,Indonesia
91,Tacana,Bolivia
92,Tarahumara  (Central),Mexico
93,Tarahumara (Western),Mexico
94,Tboli,Philippines
95,Teribe,Panama
96,Ticuna,Peru
97,Tifal,Papua New Guinea
98,Tlapanec,Mexico
99,Tucano,Colombia
100,Vagla,Ghana
101,Vasavi,India
102,"Waorani (Auca, Huao)",Ecuador
103,Walpiri,Australia
104,Wobé,Ivory Coast
105,Yacouba,Ivory Coast
106,Yakan,Philippines
107,Yaminahua,Peru
108,Yucuna,Colombia
109,Yupik,USA
110,Zapotec,Mexico
